,season,division,matchday,date,time,home_team,away_team,score
0,1928-1929,1,1,2/10/29,,Arenas Club,Athletic Madrid,2:3
1,1928-1929,1,1,2/10/29,,Espanyol,Real Unión,3:2
2,1928-1929,1,1,2/10/29,,Real Madrid,Catalunya,5:0
3,1928-1929,1,1,2/10/29,,Donostia,Athletic,1:1
4,1928-1929,1,1,2/12/29,,Racing,Barcelona,0:2
5,1928-1929,1,2,2/17/29,,Barcelona,Real Madrid,1:2
6,1928-1929,1,2,2/17/29,,Athletic,Espanyol,9:0
7,1928-1929,1,2,2/17/29,,Athletic Madrid,Donostia,0:3
8,1928-1929,1,2,2/17/29,,Real Unión,Racing,3:1
9,1928-1929,1,2,2/17/29,,Catalunya,Arenas Club,5:2
10,1928-1929,1,3,2/24/29,,Donostia,Barcelona,3:0
11,1928-1929,1,3,2/24/29,,Espanyol,Catalunya,3:1
12,1928-1929,1,3,2/24/29,,Arenas Club,Real Unión,1:1
13,1928-1929,1,3,2/24/29,,Racing,Athletic,0:4
14,1928-1929,1,3,2/24/29,,Real Madrid,Athletic Madrid,2:1
15,1928-1929,1,4,3/3/29,,Real Unión,Athletic Madrid,1:2
16,1928-1929,1,4,3/3/29,,Real Madrid,Donostia,2:1
17,1928-1929,1,4,3/3/29,,Espanyol,Racing,3:0
18,1928-1929,1,4,3/3/29,,Barcelona,Arenas Club,2:2
19,1928-1929,1,4,3/3/29,,Athletic,Catalunya,2:0
20,1928-1929,1,5,3/10/29,,Catalunya,Real Unión,3:3
21,1928-1929,1,5,3/10/29,,Athletic Madrid,Barcelona,4:1
22,1928-1929,1,5,3/10/29,,Racing,Real Madrid,1:3
23,1928-1929,1,5,3/10/29,,Donostia,Espanyol,1:1
24,1928-1929,1,5,3/10/29,,Arenas Club,Athletic,1:0
25,1928-1929,1,6,3/24/29,,Espanyol,Real Madrid,4:0
26,1928-1929,1,6,3/24/29,,Real Unión,Athletic,6:3
27,1928-1929,1,6,3/24/29,,Arenas Club,Donostia,3:0
28,1928-1929,1,6,3/24/29,,Athletic Madrid,Racing,4:0
29,1928-1929,1,6,3/24/29,,Barcelona,Catalunya,5:2
30,1928-1929,1,7,3/31/29,,Donostia,Racing,8:1
31,1928-1929,1,7,3/31/29,,Espanyol,Arenas Club,1:2
32,1928-1929,1,7,3/31/29,,Catalunya,Athletic Madrid,4:1
33,1928-1929,1,7,3/31/29,,Athletic,Barcelona,5:1
34,1928-1929,1,7,3/31/29,,Real Madrid,Real Unión,2:0
35,1928-1929,1,8,4/7/29,,Arenas Club,Real Madrid,3:2
36,1928-1929,1,8,4/7/29,,Athletic Madrid,Athletic,2:3
37,1928-1929,1,8,4/7/29,,Barcelona,Espanyol,1:0
38,1928-1929,1,8,4/7/29,,Real Unión,Donostia,2:3
39,1928-1929,1,8,4/7/29,,Racing,Catalunya,3:2
40,1928-1929,1,9,4/21/29,,Arenas Club,Racing,2:1
41,1928-1929,1,9,4/21/29,,Real Unión,Barcelona,1:2
42,1928-1929,1,9,4/21/29,,Real Madrid,Athletic,5:1
43,1928-1929,1,9,4/21/29,,Espanyol,Athletic Madrid,3:2
44,1928-1929,1,9,4/21/29,,Catalunya,Donostia,4:3
45,1928-1929,1,10,4/28/29,,Real Unión,Espanyol,4:3
46,1928-1929,1,10,4/28/29,,Athletic,Donostia,4:2
47,1928-1929,1,10,4/28/29,,Barcelona,Racing,5:1
48,1928-1929,1,10,4/28/29,,Athletic Madrid,Arenas Club,1:2
49,1928-1929,1,10,4/28/29,,Catalunya,Real Madrid,5:2
50,1928-1929,1,11,5/5/29,,Espanyol,Athletic,4:1
51,1928-1929,1,11,5/5/29,,Racing,Real Unión,1:3
52,1928-1929,1,11,5/5/29,,Arenas Club,Catalunya,2:2
53,1928-1929,1,11,5/9/29,,Real Madrid,Barcelona,0:1
54,1928-1929,1,11,5/9/29,,Donostia,Athletic Madrid,3:3
55,1928-1929,1,12,5/9/29,,Catalunya,Espanyol,0:3
56,1928-1929,1,12,5/12/29,,Athletic,Racing,0:0
57,1928-1929,1,12,5/19/29,,Athletic Madrid,Real Unión,3:1
58,1928-1929,1,12,5/19/29,,Donostia,Real Madrid,5:4
59,1928-1929,1,12,6/30/29,,Arenas Club,Barcelona,0:2
60,1928-1929,1,13,5/26/29,,Barcelona,Athletic Madrid,4:0
61,1928-1929,1,13,5/26/29,,Espanyol,Donostia,1:1
62,1928-1929,1,13,5/26/29,,Real Madrid,Racing,2:2
63,1928-1929,1,13,5/26/29,,Athletic,Arenas Club,2:3
64,1928-1929,1,13,5/26/29,,Real Unión,Catalunya,2:3
65,1928-1929,1,14,5/12/29,,Real Unión,Arenas Club,7:1
66,1928-1929,1,14,5/30/29,,Athletic Madrid,Real Madrid,0:3
67,1928-1929,1,14,5/30/29,,Barcelona,Donostia,1:0
68,1928-1929,1,14,5/30/29,,Racing,Espanyol,1:1
69,1928-1929,1,14,5/30/29,,Catalunya,Athletic,1:1
70,1928-1929,1,15,6/2/29,,Catalunya,Barcelona,1:1
71,1928-1929,1,15,6/2/29,,Real Madrid,Espanyol,2:0
72,1928-1929,1,15,6/2/29,,Racing,Athletic Madrid,1:2
73,1928-1929,1,15,6/2/29,,Donostia,Arenas Club,3:2
74,1928-1929,1,15,6/2/29,,Athletic,Real Unión,2:1
75,1928-1929,1,16,6/9/29,,Arenas Club,Espanyol,3:0
76,1928-1929,1,16,6/9/29,,Racing,Donostia,6:1
77,1928-1929,1,16,6/9/29,,Barcelona,Athletic,3:0
78,1928-1929,1,16,6/9/29,,Real Unión,Real Madrid,0:2
79,1928-1929,1,16,6/9/29,,Athletic Madrid,Catalunya,5:4
80,1928-1929,1,17,6/16/29,,Espanyol,Barcelona,1:1
81,1928-1929,1,17,6/16/29,,Athletic,Athletic Madrid,3:3
82,1928-1929,1,17,6/16/29,,Catalunya,Racing,4:1
83,1928-1929,1,17,6/16/29,,Real Madrid,Arenas Club,2:0
84,1928-1929,1,17,6/16/29,,Donostia,Real Unión,3:2
85,1928-1929,1,18,6/23/29,,Donostia,Catalunya,5:4
86,1928-1929,1,18,6/23/29,,Athletic,Real Madrid,2:0
87,1928-1929,1,18,6/23/29,,Athletic Madrid,Espanyol,7:1
88,1928-1929,1,18,6/23/29,,Racing,Arenas Club,5:1
89,1928-1929,1,18,6/23/29,,Barcelona,Real Unión,4:1
90,1929-1930,1,1,12/1/29,,Athletic Madrid,Catalunya,5:3
91,1929-1930,1,1,12/1/29,,Athletic,Real Madrid,2:1
92,1929-1930,1,1,12/1/29,,Barcelona,Donostia,3:0
93,1929-1930,1,1,12/1/29,,Racing,Espanyol,4:1
94,1929-1930,1,1,12/1/29,,Real Unión,Arenas Club,3:2
95,1929-1930,1,2,12/8/29,,Arenas Club,Barcelona,1:3
96,1929-1930,1,2,12/8/29,,Catalunya,Athletic,2:2
97,1929-1930,1,2,12/8/29,,Espanyol,Athletic Madrid,1:0
98,1929-1930,1,2,12/8/29,,Donostia,Racing,7:0
99,1929-1930,1,2,12/8/29,,Real Madrid,Real Unión,2:2
100,1929-1930,1,3,12/15/29,,Athletic Madrid,Real Madrid,2:1
101,1929-1930,1,3,12/15/29,,Barcelona,Catalunya,2:1
102,1929-1930,1,3,12/15/29,,Racing,Arenas Club,2:5
103,1929-1930,1,3,12/15/29,,Real Unión,Espanyol,3:3
104,1929-1930,1,3,12/15/29,,Athletic,Donostia,2:2
105,1929-1930,1,4,12/22/29,,Donostia,Real Madrid,4:0
106,1929-1930,1,4,12/22/29,,Espanyol,Athletic,2:2
107,1929-1930,1,4,12/22/29,,Barcelona,Racing,5:0
108,1929-1930,1,4,12/22/29,,Athletic Madrid,Real Unión,3:3
109,1929-1930,1,4,12/22/29,,Arenas Club,Catalunya,2:3
110,1929-1930,1,5,12/29/29,,Catalunya,Donostia,3:2
111,1929-1930,1,5,12/29/29,,Arenas Club,Athletic,3:3
112,1929-1930,1,5,12/29/29,,Real Unión,Barcelona,1:3
113,1929-1930,1,5,12/29/29,,Racing,Athletic Madrid,3:2
114,1929-1930,1,5,12/29/29,,Real Madrid,Espanyol,2:4
115,1929-1930,1,6,1/5/30,,Barcelona,Athletic Madrid,4:2
116,1929-1930,1,6,1/5/30,,Real Madrid,Racing,6:0
117,1929-1930,1,6,1/5/30,,Donostia,Arenas Club,4:4
118,1929-1930,1,6,1/5/30,,Athletic,Real Unión,5:2
119,1929-1930,1,6,1/9/30,,Espanyol,Catalunya,1:2
120,1929-1930,1,7,1/12/30,,Arenas Club,Espanyol,2:0
121,1929-1930,1,7,1/12/30,,Athletic Madrid,Donostia,1:1
122,1929-1930,1,7,1/12/30,,Barcelona,Athletic,1:1
123,1929-1930,1,7,1/12/30,,Catalunya,Real Madrid,1:2
124,1929-1930,1,7,1/12/30,,Real Unión,Racing,6:3
125,1929-1930,1,8,1/19/30,,Espanyol,Barcelona,4:0
126,1929-1930,1,8,1/19/30,,Athletic,Athletic Madrid,6:1
127,1929-1930,1,8,1/19/30,,Real Madrid,Arenas Club,5:2
128,1929-1930,1,8,1/19/30,,Donostia,Real Unión,2:3
129,1929-1930,1,8,1/19/30,,Racing,Catalunya,6:0
130,1929-1930,1,9,1/26/30,,Catalunya,Real Unión,0:1
131,1929-1930,1,9,1/26/30,,Barcelona,Real Madrid,1:4
132,1929-1930,1,9,1/26/30,,Donostia,Espanyol,1:0
133,1929-1930,1,9,1/26/30,,Athletic,Racing,4:0
134,1929-1930,1,9,1/26/30,,Athletic Madrid,Arenas Club,1:3
135,1929-1930,1,10,2/2/30,,Real Madrid,Athletic,2:3
136,1929-1930,1,10,2/2/30,,Catalunya,Athletic Madrid,2:0
137,1929-1930,1,10,2/2/30,,Espanyol,Racing,3:0
138,1929-1930,1,10,2/2/30,,Arenas Club,Real Unión,7:2
139,1929-1930,1,10,2/2/30,,Donostia,Barcelona,1:2
140,1929-1930,1,11,2/9/30,,Real Unión,Real Madrid,2:2
141,1929-1930,1,11,2/9/30,,Racing,Donostia,2:0
142,1929-1930,1,11,2/9/30,,Barcelona,Arenas Club,3:1
143,1929-1930,1,11,2/9/30,,Athletic,Catalunya,3:0
144,1929-1930,1,11,2/12/30,,Athletic Madrid,Espanyol,2:0
145,1929-1930,1,12,2/16/30,,Catalunya,Barcelona,0:3
146,1929-1930,1,12,2/16/30,,Espanyol,Real Unión,3:1
147,1929-1930,1,12,2/16/30,,Arenas Club,Racing,5:1
148,1929-1930,1,12,2/16/30,,Donostia,Athletic,1:7
149,1929-1930,1,12,2/16/30,,Real Madrid,Athletic Madrid,4:1
150,1929-1930,1,13,2/23/30,,Racing,Barcelona,2:1
151,1929-1930,1,13,2/23/30,,Athletic,Espanyol,6:0
152,1929-1930,1,13,2/23/30,,Real Unión,Athletic Madrid,8:2
153,1929-1930,1,13,2/23/30,,Real Madrid,Donostia,1:1
154,1929-1930,1,13,2/23/30,,Catalunya,Arenas Club,1:2
155,1929-1930,1,14,3/2/30,,Athletic,Arenas Club,5:2
156,1929-1930,1,14,3/2/30,,Athletic Madrid,Racing,3:1
157,1929-1930,1,14,3/2/30,,Donostia,Catalunya,2:0
158,1929-1930,1,14,3/5/30,,Barcelona,Real Unión,4:2
159,1929-1930,1,14,3/5/30,,Espanyol,Real Madrid,8:1
160,1929-1930,1,15,3/9/30,,Racing,Real Madrid,2:0
161,1929-1930,1,15,3/9/30,,Athletic Madrid,Barcelona,3:2
162,1929-1930,1,15,3/9/30,,Real Unión,Athletic,1:1
163,1929-1930,1,15,3/9/30,,Catalunya,Espanyol,1:2
164,1929-1930,1,15,3/9/30,,Arenas Club,Donostia,3:1
165,1929-1930,1,16,3/16/30,,Espanyol,Arenas Club,1:0
166,1929-1930,1,16,3/16/30,,Racing,Real Unión,4:2
167,1929-1930,1,16,3/16/30,,Donostia,Athletic Madrid,2:0
168,1929-1930,1,16,3/16/30,,Athletic,Barcelona,4:3
169,1929-1930,1,16,3/16/30,,Real Madrid,Catalunya,6:1
170,1929-1930,1,17,3/22/30,,Catalunya,Racing,5:0
171,1929-1930,1,17,3/23/30,,Arenas Club,Real Madrid,5:1
172,1929-1930,1,17,3/23/30,,Athletic Madrid,Athletic,3:4
173,1929-1930,1,17,3/23/30,,Barcelona,Espanyol,5:4
174,1929-1930,1,17,3/23/30,,Real Unión,Donostia,3:2
175,1929-1930,1,18,3/30/30,,Real Unión,Catalunya,3:4
176,1929-1930,1,18,3/30/30,,Real Madrid,Barcelona,5:1
177,1929-1930,1,18,3/30/30,,Racing,Athletic,2:3
178,1929-1930,1,18,3/30/30,,Arenas Club,Athletic Madrid,2:1
179,1929-1930,1,18,3/30/30,,Espanyol,Donostia,3:1
180,1930-1931,1,1,12/7/30,,Real Madrid,Espanyol,2:0
181,1930-1931,1,1,12/7/30,,Donostia,Alavés,2:2
182,1930-1931,1,1,12/7/30,,Arenas Club,Real Unión,1:2
183,1930-1931,1,1,12/7/30,,Racing,Catalunya,2:1
184,1930-1931,1,1,12/7/30,,Barcelona,Athletic,6:3
185,1930-1931,1,2,12/14/30,,Catalunya,Barcelona,2:2
186,1930-1931,1,2,12/14/30,,Athletic,Donostia,6:1
187,1930-1931,1,2,12/14/30,,Espanyol,Racing,4:1
188,1930-1931,1,2,12/14/30,,Alavés,Arenas Club,3:2
189,1930-1931,1,2,1/27/31,,Real Unión,Real Madrid,1:1
190,1930-1931,1,3,12/21/30,,Arenas Club,Real Madrid,4:1
191,1930-1931,1,3,12/21/30,,Catalunya,Real Unión,2:1
192,1930-1931,1,3,12/21/30,,Alavés,Espanyol,4:1
193,1930-1931,1,3,12/21/30,,Donostia,Barcelona,4:1
194,1930-1931,1,3,12/21/30,,Racing,Athletic,4:1
195,1930-1931,1,4,12/25/30,,Real Madrid,Catalunya,3:1
196,1930-1931,1,4,12/28/30,,Real Unión,Donostia,2:4
197,1930-1931,1,4,12/28/30,,Barcelona,Racing,1:1
198,1930-1931,1,4,12/28/30,,Espanyol,Arenas Club,5:0
199,1930-1931,1,4,12/28/30,,Athletic,Alavés,7:1
200,1930-1931,1,5,1/4/31,,Real Madrid,Alavés,1:0
201,1930-1931,1,5,1/4/31,,Catalunya,Athletic,2:1
202,1930-1931,1,5,1/4/31,,Arenas Club,Barcelona,5:0
203,1930-1931,1,5,1/4/31,,Racing,Donostia,2:5
204,1930-1931,1,5,1/4/31,,Real Unión,Espanyol,6:1
205,1930-1931,1,6,1/11/31,,Racing,Real Madrid,3:0
206,1930-1931,1,6,1/11/31,,Barcelona,Espanyol,6:2
207,1930-1931,1,6,1/11/31,,Athletic,Arenas Club,5:2
208,1930-1931,1,6,1/11/31,,Alavés,Real Unión,3:1
209,1930-1931,1,6,1/11/31,,Donostia,Catalunya,3:1
210,1930-1931,1,7,1/18/31,,Arenas Club,Donostia,1:3
211,1930-1931,1,7,1/18/31,,Alavés,Racing,2:5
212,1930-1931,1,7,1/18/31,,Real Madrid,Athletic,0:6
213,1930-1931,1,7,1/18/31,,Real Unión,Barcelona,1:1
214,1930-1931,1,7,1/18/31,,Espanyol,Catalunya,4:0
215,1930-1931,1,8,1/25/31,,Donostia,Real Madrid,2:1
216,1930-1931,1,8,1/25/31,,Athletic,Espanyol,5:1
217,1930-1931,1,8,1/25/31,,Catalunya,Arenas Club,1:4
218,1930-1931,1,8,1/25/31,,Barcelona,Alavés,1:1
219,1930-1931,1,8,1/25/31,,Racing,Real Unión,4:1
220,1930-1931,1,9,2/1/31,,Alavés,Catalunya,2:0
221,1930-1931,1,9,2/1/31,,Real Madrid,Barcelona,0:0
222,1930-1931,1,9,2/1/31,,Real Unión,Athletic,2:3
223,1930-1931,1,9,2/1/31,,Espanyol,Donostia,1:0
224,1930-1931,1,9,2/1/31,,Arenas Club,Racing,4:2
225,1930-1931,1,10,2/8/31,,Athletic,Barcelona,12:1
226,1930-1931,1,10,2/8/31,,Alavés,Donostia,1:2
227,1930-1931,1,10,2/8/31,,Catalunya,Racing,1:2
228,1930-1931,1,10,2/8/31,,Real Unión,Arenas Club,2:2
229,1930-1931,1,10,2/8/31,,Espanyol,Real Madrid,1:1
230,1930-1931,1,11,2/15/31,,Donostia,Athletic,1:0
231,1930-1931,1,11,2/15/31,,Racing,Espanyol,4:0
232,1930-1931,1,11,2/15/31,,Arenas Club,Alavés,1:1
233,1930-1931,1,11,2/15/31,,Real Madrid,Real Unión,3:0
234,1930-1931,1,11,2/15/31,,Barcelona,Catalunya,0:2
235,1930-1931,1,12,2/22/31,,Barcelona,Donostia,5:1
236,1930-1931,1,12,2/22/31,,Real Unión,Catalunya,4:3
237,1930-1931,1,12,2/22/31,,Espanyol,Alavés,2:0
238,1930-1931,1,12,2/22/31,,Athletic,Racing,7:1
239,1930-1931,1,12,2/22/31,,Real Madrid,Arenas Club,1:2
240,1930-1931,1,13,3/1/31,,Catalunya,Real Madrid,0:3
241,1930-1931,1,13,3/1/31,,Racing,Barcelona,0:1
242,1930-1931,1,13,3/1/31,,Alavés,Athletic,1:4
243,1930-1931,1,13,3/1/31,,Arenas Club,Espanyol,1:0
244,1930-1931,1,13,3/1/31,,Donostia,Real Unión,3:3
245,1930-1931,1,14,3/8/31,,Donostia,Racing,4:7
246,1930-1931,1,14,3/8/31,,Athletic,Catalunya,4:1
247,1930-1931,1,14,3/8/31,,Espanyol,Real Unión,4:2
248,1930-1931,1,14,3/8/31,,Alavés,Real Madrid,2:0
249,1930-1931,1,14,3/8/31,,Barcelona,Arenas Club,2:0
250,1930-1931,1,15,3/14/31,,Catalunya,Donostia,2:1
251,1930-1931,1,15,3/15/31,,Arenas Club,Athletic,3:2
252,1930-1931,1,15,3/15/31,,Real Madrid,Racing,0:0
253,1930-1931,1,15,3/15/31,,Real Unión,Alavés,4:1
254,1930-1931,1,15,3/17/31,,Espanyol,Barcelona,4:4
255,1930-1931,1,16,3/22/31,,Donostia,Arenas Club,4:1
256,1930-1931,1,16,3/22/31,,Racing,Alavés,4:0
257,1930-1931,1,16,3/22/31,,Catalunya,Espanyol,3:1
258,1930-1931,1,16,3/22/31,,Athletic,Real Madrid,2:4
259,1930-1931,1,16,3/22/31,,Barcelona,Real Unión,5:3
260,1930-1931,1,17,3/29/31,,Alavés,Barcelona,1:1
261,1930-1931,1,17,3/29/31,,Espanyol,Athletic,0:4
262,1930-1931,1,17,3/29/31,,Real Madrid,Donostia,2:0
263,1930-1931,1,17,3/29/31,,Real Unión,Racing,4:3
264,1930-1931,1,17,3/29/31,,Arenas Club,Catalunya,1:0
265,1930-1931,1,18,4/5/31,,Athletic,Real Unión,1:2
266,1930-1931,1,18,4/5/31,,Barcelona,Real Madrid,3:1
267,1930-1931,1,18,4/5/31,,Donostia,Espanyol,2:1
268,1930-1931,1,18,4/5/31,,Racing,Arenas Club,4:1
269,1930-1931,1,18,4/5/31,,Catalunya,Alavés,1:0
270,1931-1932,1,1,11/22/31,,Real Madrid,Athletic,1:1
271,1931-1932,1,1,11/22/31,,Espanyol,Valencia,3:0
272,1931-1932,1,1,11/22/31,,Arenas Club,Donostia,2:1
273,1931-1932,1,1,11/22/31,,Alavés,Racing,1:2
274,1931-1932,1,1,11/22/31,,Real Unión,Barcelona,1:3
275,1931-1932,1,2,11/29/31,,Donostia,Real Madrid,1:2
276,1931-1932,1,2,11/29/31,,Racing,Espanyol,2:1
277,1931-1932,1,2,11/29/31,,Barcelona,Arenas Club,2:2
278,1931-1932,1,2,11/29/31,,Athletic,Alavés,3:2
279,1931-1932,1,2,11/29/31,,Valencia,Real Unión,5:1
280,1931-1932,1,3,12/20/31,,Valencia,Real Madrid,1:1
281,1931-1932,1,3,12/20/31,,Arenas Club,Racing,3:1
282,1931-1932,1,3,12/20/31,,Alavés,Donostia,1:2
283,1931-1932,1,3,12/20/31,,Espanyol,Barcelona,0:3
284,1931-1932,1,3,12/20/31,,Real Unión,Athletic,1:5
285,1931-1932,1,4,12/27/31,,Athletic,Barcelona,3:0
286,1931-1932,1,4,12/27/31,,Donostia,Valencia,7:1
287,1931-1932,1,4,12/27/31,,Espanyol,Arenas Club,4:2
288,1931-1932,1,4,12/27/31,,Real Madrid,Alavés,5:0
289,1931-1932,1,4,12/27/31,,Racing,Real Unión,2:2
290,1931-1932,1,5,1/3/32,,Valencia,Athletic,0:0
291,1931-1932,1,5,1/3/32,,Arenas Club,Real Madrid,2:2
292,1931-1932,1,5,1/3/32,,Donostia,Real Unión,5:0
293,1931-1932,1,5,1/3/32,,Barcelona,Racing,4:2
294,1931-1932,1,5,1/6/32,,Alavés,Espanyol,4:1
295,1931-1932,1,6,1/10/32,,Real Madrid,Espanyol,3:0
296,1931-1932,1,6,1/10/32,,Racing,Valencia,4:1
297,1931-1932,1,6,1/10/32,,Athletic,Donostia,5:1
298,1931-1932,1,6,1/10/32,,Real Unión,Arenas Club,1:0
299,1931-1932,1,6,1/10/32,,Barcelona,Alavés,6:0
300,1931-1932,1,7,1/17/32,,Valencia,Barcelona,0:0
301,1931-1932,1,7,1/17/32,,Donostia,Racing,1:5
302,1931-1932,1,7,1/17/32,,Arenas Club,Alavés,4:2
303,1931-1932,1,7,1/17/32,,Espanyol,Athletic,1:0
304,1931-1932,1,7,1/17/32,,Real Madrid,Real Unión,3:2
305,1931-1932,1,8,1/24/32,,Racing,Real Madrid,0:0
306,1931-1932,1,8,1/24/32,,Real Unión,Espanyol,4:1
307,1931-1932,1,8,1/24/32,,Alavés,Valencia,2:1
308,1931-1932,1,8,1/24/32,,Barcelona,Donostia,2:0
309,1931-1932,1,8,1/24/32,,Athletic,Arenas Club,4:1
310,1931-1932,1,9,1/31/32,,Real Unión,Alavés,0:2
311,1931-1932,1,9,1/31/32,,Real Madrid,Barcelona,2:0
312,1931-1932,1,9,1/31/32,,Espanyol,Donostia,2:0
313,1931-1932,1,9,1/31/32,,Athletic,Racing,3:2
314,1931-1932,1,9,1/31/32,,Valencia,Arenas Club,3:2
315,1931-1932,1,10,2/7/32,,Valencia,Espanyol,3:1
316,1931-1932,1,10,2/7/32,,Donostia,Arenas Club,7:0
317,1931-1932,1,10,2/7/32,,Racing,Alavés,1:1
318,1931-1932,1,10,2/7/32,,Barcelona,Real Unión,3:2
319,1931-1932,1,10,2/7/32,,Athletic,Real Madrid,3:3
320,1931-1932,1,11,2/14/32,,Arenas Club,Barcelona,1:3
321,1931-1932,1,11,2/14/32,,Alavés,Athletic,0:1
322,1931-1932,1,11,2/14/32,,Real Madrid,Donostia,1:0
323,1931-1932,1,11,2/16/32,,Real Unión,Valencia,3:2
324,1931-1932,1,11,2/16/32,,Espanyol,Racing,6:1
325,1931-1932,1,12,2/21/32,,Barcelona,Espanyol,2:2
326,1931-1932,1,12,2/21/32,,Athletic,Real Unión,2:1
327,1931-1932,1,12,2/21/32,,Donostia,Alavés,4:1
328,1931-1932,1,12,2/21/32,,Real Madrid,Valencia,4:1
329,1931-1932,1,12,2/21/32,,Racing,Arenas Club,1:1
330,1931-1932,1,13,2/28/32,,Alavés,Real Madrid,0:1
331,1931-1932,1,13,2/28/32,,Barcelona,Athletic,1:3
332,1931-1932,1,13,2/28/32,,Arenas Club,Espanyol,3:2
333,1931-1932,1,13,2/28/32,,Valencia,Donostia,4:0
334,1931-1932,1,13,2/28/32,,Real Unión,Racing,2:2
335,1931-1932,1,14,3/6/32,,Real Unión,Donostia,2:0
336,1931-1932,1,14,3/6/32,,Athletic,Valencia,7:2
337,1931-1932,1,14,3/6/32,,Espanyol,Alavés,4:0
338,1931-1932,1,14,3/6/32,,Real Madrid,Arenas Club,4:0
339,1931-1932,1,14,3/6/32,,Racing,Barcelona,3:2
340,1931-1932,1,15,3/13/32,,Espanyol,Real Madrid,1:2
341,1931-1932,1,15,3/13/32,,Alavés,Barcelona,1:3
342,1931-1932,1,15,3/13/32,,Donostia,Athletic,3:2
343,1931-1932,1,15,3/13/32,,Valencia,Racing,6:4
344,1931-1932,1,15,3/13/32,,Arenas Club,Real Unión,5:0
345,1931-1932,1,16,3/20/32,,Barcelona,Valencia,3:2
346,1931-1932,1,16,3/20/32,,Racing,Donostia,2:1
347,1931-1932,1,16,3/20/32,,Athletic,Espanyol,4:0
348,1931-1932,1,16,3/20/32,,Real Unión,Real Madrid,1:1
349,1931-1932,1,16,3/20/32,,Alavés,Arenas Club,3:1
350,1931-1932,1,17,3/27/32,,Donostia,Barcelona,0:1
351,1931-1932,1,17,3/27/32,,Arenas Club,Athletic,2:1
352,1931-1932,1,17,3/27/32,,Real Madrid,Racing,0:0
353,1931-1932,1,17,3/27/32,,Valencia,Alavés,5:1
354,1931-1932,1,17,3/27/32,,Espanyol,Real Unión,3:1
355,1931-1932,1,18,4/3/32,,Alavés,Real Unión,1:0
356,1931-1932,1,18,4/3/32,,Barcelona,Real Madrid,2:2
357,1931-1932,1,18,4/3/32,,Racing,Athletic,2:0
358,1931-1932,1,18,4/3/32,,Donostia,Espanyol,5:2
359,1931-1932,1,18,4/3/32,,Arenas Club,Valencia,4:1
360,1932-1933,1,1,11/27/32,,Donostia,Barcelona,2:2
361,1932-1933,1,1,11/27/32,,Athletic,Real Betis,9:1
362,1932-1933,1,1,11/27/32,,Alavés,Racing,8:2
363,1932-1933,1,1,11/27/32,,Valencia,Arenas Club,3:2
364,1932-1933,1,1,11/27/32,,Espanyol,Real Madrid,2:1
365,1932-1933,1,2,12/4/32,,Racing,Athletic,0:1
366,1932-1933,1,2,12/4/32,,Arenas Club,Espanyol,0:2
367,1932-1933,1,2,12/4/32,,Real Betis,Valencia,3:2
368,1932-1933,1,2,12/4/32,,Real Madrid,Donostia,6:2
369,1932-1933,1,2,12/4/32,,Barcelona,Alavés,2:0
370,1932-1933,1,3,12/11/32,,Alavés,Real Madrid,0:1
371,1932-1933,1,3,12/11/32,,Athletic,Arenas Club,3:1
372,1932-1933,1,3,12/11/32,,Valencia,Barcelona,2:2
373,1932-1933,1,3,12/11/32,,Espanyol,Racing,2:1
374,1932-1933,1,3,12/12/32,,Real Betis,Donostia,4:2
375,1932-1933,1,4,12/18/32,,Athletic,Espanyol,0:2
376,1932-1933,1,4,12/18/32,,Racing,Valencia,2:0
377,1932-1933,1,4,12/18/32,,Real Madrid,Real Betis,4:1
378,1932-1933,1,4,12/18/32,,Barcelona,Arenas Club,5:2
379,1932-1933,1,4,12/18/32,,Donostia,Alavés,3:1
380,1932-1933,1,5,12/25/32,,Arenas Club,Racing,2:1
381,1932-1933,1,5,12/25/32,,Alavés,Athletic,0:2
382,1932-1933,1,5,12/25/32,,Real Betis,Barcelona,2:1
383,1932-1933,1,5,12/25/32,,Espanyol,Donostia,3:0
384,1932-1933,1,5,12/25/32,,Real Madrid,Valencia,6:0
385,1932-1933,1,6,1/1/33,,Barcelona,Real Madrid,1:1
386,1932-1933,1,6,1/1/33,,Donostia,Athletic,2:4
387,1932-1933,1,6,1/1/33,,Valencia,Espanyol,1:1
388,1932-1933,1,6,1/1/33,,Racing,Real Betis,2:2
389,1932-1933,1,6,1/1/33,,Arenas Club,Alavés,3:0
390,1932-1933,1,7,1/8/33,,Real Madrid,Racing,4:1
391,1932-1933,1,7,1/8/33,,Real Betis,Arenas Club,1:1
392,1932-1933,1,7,1/8/33,,Donostia,Valencia,4:1
393,1932-1933,1,7,1/8/33,,Athletic,Barcelona,1:3
394,1932-1933,1,7,1/8/33,,Espanyol,Alavés,3:1
395,1932-1933,1,8,1/15/33,,Valencia,Athletic,1:5
396,1932-1933,1,8,1/15/33,,Alavés,Real Betis,2:0
397,1932-1933,1,8,1/17/33,,Arenas Club,Real Madrid,1:5
398,1932-1933,1,8,1/17/33,,Barcelona,Espanyol,1:1
399,1932-1933,1,8,1/17/33,,Racing,Donostia,7:1
400,1932-1933,1,9,1/22/33,,Valencia,Alavés,5:2
401,1932-1933,1,9,1/22/33,,Athletic,Real Madrid,0:2
